Camp_Name,enum_name,enum_nub,coordinates_latitude,coordinates_longitude,governorate,district,site_typology,area,sub_site,site_name,month,camp_mngt,camp_mngmt_office,camp_mngmt_male_staff,camp_mngmt_female_staff,camp_committee,population_tracking,presence_of_camp_mobile_team,camp_mobile_team_agency,camp_distribution_announcement,plots/occupied_plots,plots/no_of_shelters,has_concrete_slabs,shelter_types,shelter_types/modm_tents,shelter_types/modm_tents_repairs,shelter_types/unhcr_tents,shelter_types/unhcr_tents_repairs,shelter_types/afad_tents,shelter_types/afad_tents_repairs,shelter_types/other_tents,shelter_types/other_tents_repairs,shelter_types/caravans,shelter_types/RHU,shelter_types/improvised_makeshift_shelter,shelter_types/semi-permanent structure(plastic sheeting_corrugated_iron),total_hh/total_families,ind_ages/ind_age_groups/males_0_4,ind_ages/ind_age_groups/females_0_4,ind_ages/ind_age_groups/males_5_17,ind_ages/ind_age_groups/females_5_17,ind_ages/ind_age_groups/males_18_59,ind_ages/ind_age_groups/females_18_59,ind_ages/ind_age_groups/males_60_over,ind_ages/ind_age_groups/females_60_over,ind_ages/total_population,ind_ages/vulnerabilities_groups./F_HoH,ind_ages/vulnerabilities_groups./Child_HoH,ind_ages/vulnerabilities_groups./ppl_physical_dis,ind_ages/vulnerabilities_groups./ppl_mental_dis,ind_ages/vulnerabilities_groups./ppl_chronic_disease,ind_ages/vulnerabilities_groups./elderly_at_risk,nfi_items/blankets,nfi_items/mattress,nfi_items/kitchen_nfi,nfi_items/fuel,nfi_items/oven,nfi_items/water_container,nfi_items/kerosene cooking/ fuel distribution on the camp ?,Is the camp subjected to Flood Risk?,Number of fire incidents during this year,What is the main source of electricity in the camp?,Water: Number of  litters/person/day,What is the primary method of waste disposal by families?,Number of functional latrines in the camp,Number of functional shower/bathing facilities in the camp,lightning_around_latrines,Illness_in_site,PHC,SHC,children_under_5_vaccinatedfor_poliomeasles,access_to_food,food assistance frequency,Are there movement restrictions in and out of the camp?,Are there areas where women and girls do 0t feel safe?,families_missing_documentation,distance to accessible counrts and civil registration office (kms),functioning_primary_school,functioning_secondary_school,Approximately how many school-aged children have access to formal school?,What are the primary challenges to accessing formal education (select up to 3)?,informal_education_activities_available,access_to_informal_education,Nearest market available(kms),Items not available at market,primary_livelihood_sources,how_many_earn_income_last_30_days,young_people(under_18)_work_in_last_30_days,PROTECTION,GBV,CHILD PROTECTION,EDUCATION,SHELTER,WATER,SANITATION,WASTE MANAGEMENT,NFI,PHC,SHC,MHPSS,NUTRITION,FOOD,SOCIAL COHESION,LIVELIHOOD,COMMUNICATION
Bajet Kandala,,,0.000001,0.000001,Dahuk,Sumel,Camp,,IQ0803-0001,IQ0803-0001,May,Yes,Yes,11,2,Camp Management Committee Maintenance Committee WASH Committee,LMMS,0,,Camp Management Team Word of Mouth Camp Committees,10,0,1,UNHCR Tents,,,1522,0,,,,,,,,,2053,724,658,1850,1911,1689,1850,231,284,,227,0,86,18,0,150,0,0,0,0,0,1,1,Medium: The campsite is subjected to flood during rainy seasons (roads mainly).,1,Electricity grid Generators privately owned,79,Communal garbage bin,896,825,1,0ne,0,0,1543,0,Every month,0,0ne,3,40,1,1,3045,0t e0ugh schools or classrooms 0t e0ugh teachers Physical/ logistical constraints,1,77,,Everything needed is available,Smallholder agriculture Unskilled wage labour Casual unskilled labour,2053,341,B.R.H.A DRC HARIKAR UNHCR , ,B.R.H.A DRC IOM UNHCR UNICEF ,B.R.H.A Ministry of Education, ,B.R.H.A UNICEF ,B.R.H.A UNICEF ,B.R.H.A Government / Local Authorities , , , , , , ,HARIKAR IOM ,B.R.H.A ,
Basateen Al sheuokh,Mohammed Abdu-Hadi Sulaiman,,35.523,43.234,Salah al-Din,Shirqat,Camp,,IQ1509-0007,IQ1509-0007,May,Yes,Yes,8,2,Women committee Youth committee WASH Committee,Excel based,1,CAOFISR,Camp Management Team NGO Camp Committees,19,216,Partially,Other Tents,,,,,,,0,570,,,,,292,191,149,294,232,156,189,13,28,,69,0,17,3,28,41,0,0,0,1,0,0,1,"Low: The campsite is well-drained, yet some areas get water stagnant.",3,Electricity grid,25,Communal garbage bin,66,55,0,Numerous cases of fever Numerous cases of respiratory diseases,1,1,0,0,Every month,0,0ne,20,1,0,0,245,"0t e0ugh schools or classrooms Physical/ logistical constraints Limited eco0mic resources (e.g. to pay for school fees, uniform, transport, books, etc.)",1,73,1,Everything needed is available,Casual unskilled labour Self-employment Humanitarian aid,15,0,Government / Local Authorities ,UIMS ,Terre des Hommes ,,IOM ,other (specify) CAOFISR,other (specify) CAOFISR,other (specify) CAOFISR,IOM , , , , ,other (specify) Mercy Hands, , ,
Berseve 1,Sardar Yaseen Ismael,,37.192499,42.849894,Dahuk,Zakho,Camp,,IQ0804-0001,IQ0804-0001,May,Yes,Yes,7,2,Women committee Other Committee,LMMS,0,,NGO Community leaders,2500,600,1,AFAD Tents,,,,,1900,600,,,,,,,1464,460,490,1367,1357,1324,1400,141,186,,89,6,100,1,111,0,0,0,0,0,0,0,1,"Low: The campsite is well-drained, yet some areas get water stagnant.",2,Centralized generators Generators privately owned,80,Communal garbage bin,900,634,1,"Skin diseases (scabies, contagious rashes, etc.)",1,1,797,1,Every month,0,0ne,500,18,1,1,2800,0ne,1,1500,,Kerosene,Smallholder agriculture Unskilled agricultural labour Humanitarian aid,800,800,B.R.H.A UNHCR ,B.R.H.A UNHCR , ,Ministry of Education UNICEF, ,B.R.H.A UNICEF , ,AMEDY ,Qandil UNHCR ,HEIVE Ministry of Health ,Ministry of Health , , ,ACTED WFP , , ,
Berseve 2,Walat Kharsheed Salih,,37.180281,42.860538,Dahuk,Zakho,Camp,,IQ0804-0002,IQ0804-0002,May,Yes,Yes,7,1,Camp Management Committee,LMMS,0,,Camp Management Team Internet (news websites),0,1820,1,UNHCR Tents,,,1820,56,,,,,,,,,1749,541,588,1598,1687,1560,1718,154,221,,314,15,156,12,350,155,1,1,0,0,0,0,1,"Low: The campsite is well-drained, yet some areas get water stagnant.",3,Electricity grid Generators privately owned,76,Communal garbage bin,911,911,1,"Numerous cases of diarrhoea Skin diseases (scabies, contagious rashes, etc.)",1,1,10,1,Between 2 and 3 months,0,0ne,5,15,1,1,2691,0t e0ugh schools or classrooms 0t e0ugh teachers,1,945,,Everything needed is available,Commercial agriculture Smallholder agriculture Social security,975,30,B.R.H.A EMMA UNHCR UNICEF ,B.R.H.A EMMA ,B.R.H.A UNICEF ,B.R.H.A Government / Local Authorities UNICEF,QANDIL UNHCR ,UNICEF ,Government / Local Authorities UNICEF ,Government / Local Authorities ,ACTED WFP ,Government / Local Authorities MEDAIR , ,Government / Local Authorities HARIKAR MEDAIR UNHCR ,ACTED MOMD ,MOMD ,B.R.H.A Government / Local Authorities UNHCR ,B.R.H.A Government / Local Authorities UNHCR ,UNHCR B.R.H.A Government / Local Authorities
Caravans 2 (AAF13),??  ???? ????,,33.14284637,43.84860656,Anbar,Falluja,Camp,,IQ0102-0019-013,IQ0102-0019-013,May,Yes,Yes,3,0,Women committee Youth committee Maintenance Committee,Excel based,1,IOM,NGO Word of Mouth Camp Management Team,61,3,0,Caravans,,,,,,,,,61,,0,58,38,3,34,45,51,66,58,5,6,,25,1,7,1,5,2,1,1,0,0,0,0,1,Medium: The campsite is subjected to flood during rainy seasons (roads mainly).,0,Electricity grid,27,Throw in street/ open place,62,62,0,0ne,1,0,0,0,Between 2 and 3 months,1,0ne,0,5,1,1,30,0t e0ugh teachers,1,12,,Everything needed is available,Social security Humanitarian aid Savings,6,10,DRC IRC ,IMC other (specify) UIMS,DRC IMC ,DoE NRC,IOM ,other (specify) SSORD,other (specify) SSORD,other (specify) Marcy carps, ,Dary , ,IMC , ,WFP ,IOM ,IOM ,IOM
Caravan 1 camp (AAF11),Saddam,,33.14760756,43.84551773,Anbar,Falluja,Camp,,IQ0102-0019-011,IQ0102-0019-011,May,Yes,Yes,3,0,Women committee Youth committee Maintenance Committee,Excel based,1,IOM,NGO Local Authorities Camp Committees,454,0,1,Caravans,,,,,,,,,324,,0,0,252,48,39,186,190,319,355,19,16,,175,4,16,5,22,6,1,1,0,0,0,0,1,"High: The campsite is subjected to flood from surrounding lands every time it rains, this effect the roads and communities.",0,Electricity grid,25,Communal garbage bin,324,324,0,0ne,1,0,0,1,Every month,1,0ne,5,4,1,1,200,0t e0ugh teachers 0t e0ugh learning materials Long distance to travel to school,1,35,,"Tools, hardware and materials",Pension from government Social security,85,15,DRC IRC ,UIMS ,DRC other (specify) SSORD?CRS,DoE NRC UPP,IOM ,other (specify) SSORD,other (specify) SSORD,other (specify) Mercy corps, ,Dary , , , ,WFP , , ,
Chamishku,Sadiq Jundy Fattah,,37.178571,42.67023,Dahuk,Zakho,Camp,,IQ0804-0003,IQ0804-0003,May,Yes,Yes,8,3,Women committee Youth committee,LMMS,0,,Camp Management Team Word of Mouth Mobile Phones,5000,0,1,MoMD Tents,5000,5000,,,,,,,,,,,5054,1428,1526,4338,4437,4735,4991,553,756,,745,11,399,6,1176,765,0,0,0,0,0,0,1,"Low: The campsite is well-drained, yet some areas get water stagnant.",0,Electricity grid Generators privately owned,80,Private collection,5000,5000,1,"Skin diseases (scabies, contagious rashes, etc.)",1,1,50,1,Every month,0,0ne,3,6,1,1,8000,Physical/ logistical constraints,1,200,,Everything needed is available,Self-employment Public sector/ civil servant Public security official,0,0,B.R.H.A Qandil War Child , , ,B.R.H.A Ministry of Education UNICEF, ,B.R.H.A CARE international HARIKAR ,CARE international HARIKAR ,CARE international HARIKAR ,MOMD ,DOH MdM , ,MdM , , ,B.R.H.A ,B.R.H.A BCF HARIKAR ,B.R.H.A
Darkar,nechirvan mohhamed sali,,37.195262,42.823597,Dahuk,Zakho,Camp,,IQ0804-0290,IQ0804-0290,May,Yes,Yes,7,1,Other Committee,LMMS,0,,NGO Community leaders,801,0,1,Caravans,,,,,,,,,801,,0,0,728,216,237,720,673,657,677,72,110,,26,3,64,4,18,0,0,0,0,0,0,0,1,"Low: The campsite is well-drained, yet some areas get water stagnant.",2,Centralized generators Generators privately owned,76,Communal garbage bin,801,801,1,"Skin diseases (scabies, contagious rashes, etc.)",1,0,453,1,Every month,0,0ne,150,20,1,1,500,0ne,0,0,1,Basic medicine Kerosene,Self-employment Pension from government Humanitarian aid,380,60,B.R.H.A ,UNFPA other (specify) ZSVP NGO, ,Ministry of Education UNICEF,B.R.H.A other (specify) UNICEF,B.R.H.A UNICEF , ,B.R.H.A UNICEF ,Qandil UNHCR ,other (specify) Elisa Care Ngo, , , ,ACTED WFP , , ,
Dawadia,Mahmood Hassan Mahmood,,37.059789,43.211981,Dahuk,Amedi,Camp,,IQ0801-0001,IQ0801-0001,May,Yes,Yes,5,2,Camp Management Committee Distribution Committee Maintenance Committee,LMMS,0,,Camp Management Team Word of Mouth Mobile Phones,0,43,0,Caravans,,,,,,,,,900,,0,0,629,191,177,586,619,474,582,60,92,,220,2,71,12,30,56,0,0,0,0,0,0,1,"Low: The campsite is well-drained, yet some areas get water stagnant.",0,Electricity grid,70,Municipal collection,0,0,1,"Skin diseases (scabies, contagious rashes, etc.)",1,0,0,1,Every month,0,0ne,0,20,1,1,1034,0ne,0,0,,Everything needed is available,Unskilled wage labour Pension from government Social security,629,0,B.R.H.A EMMA IOM , ,B.R.H.A VOP ,B.R.H.A DoE,B.R.H.A ,B.R.H.A ,B.R.H.A LWF ,LWF ,MOMD ,other (specify) step in, ,IOM , , ,B.R.H.A , ,B.R.H.A
Debaga 1,ARIF ABDULLAH KAREEM,,36.163726,-95.997809,Erbil,Makhmur,Camp,,IQ1107-0007,IQ1107-0007,May,Yes,Yes,30,9,Camp Management Committee Distribution Committee WASH Committee,Access Database based,0,,Camp Management Team Community leaders Camp Committees,1800,1800,1,"Constructed Structure (ex. Housing units constructed by blocks, fully upgraded)",,,,,,,,,,,,,1845,642,568,2074,2009,1330,1427,99,196,,471,21,140,41,159,28,0,0,0,0,0,0,1,"Low: The campsite is well-drained, yet some areas get water stagnant.",1,Electricity grid,80,Rubbish pit,1800,1800,1,"Skin diseases (scabies, contagious rashes, etc.) Numerous cases of fever Mental disabilities",1,1,1210,1,Every month,0,0ne,220,82,1,1,3,0ne,1,0,,Everything needed is available,Self-employment,1845,0,ACTED Al Massalla Government / Local Authorities Qandil UNHCR other (specify) EJCC,Al Massalla ,Terre des Hommes ,DoE,BCF UNHCR other (specify) CASH FOR WORK,UNICEF other (specify) EJCC,BCF UNICEF other (specify) EJCC,UNICEF other (specify) EJCC + DESW,MOMD UNHCR ,IOM Zhyan other (specify) JIYAN ORGANIZATION,other (specify) IOM,MSF ,DOH UNICEF ,MOMD ,other (specify) MSF,BCF ,
Essian,Toreen Adnan Mikaeel,,36.721697,43.274228,Ninewa,Shikhan,Camp,,IQ1506-0001,IQ1506-0001,May,Yes,Yes,7,2,Camp Management Committee,LMMS,0,,"Camp Management Team NGO, Sector Leaders",0,3003,1,MoMD Tents,3003,480,,,,,,,,,,,2762,856,865,2691,2490,2553,2766,262,369,,977,19,115,46,134,413,0,0,0,0,0,0,0,"Low: The campsite is well-drained, yet some areas get water stagnant.",0,Electricity grid Generators privately owned,50,Communal garbage bin,3003,3003,1,Other,1,0,55,1,Every month,0,0ne,500,10,1,1,4409,"Limited eco0mic resources (e.g. to pay for school fees, uniform, transport, books, etc.)",1,622,,Everything needed is available,Commercial agriculture Self-employment Social security,1380,100,"EMMA HARIKAR UNHCR VOP War Child other (specify) sewan,roads of success,lotus flower,efo,jiyan foundation,heevi center,tutapona",UNHCR ,VOP War Child other (specify) heevi center,"Ministry of Education other (specify), warchild,heevi center,life line",MOMD UNHCR ,CARE international other (specify) REACH,CARE international other (specify) REACH,CARE international other (specify) REACH,MOMD ,AMMAR FOUNDATION DOH , ,"other (specify) JIYAN FOUNDATION,EFO,TUTAPONA,THE LOTUS FLOWER",WFP World Vision ,WFP World Vision ,B.R.H.A UNHCR ,B.R.H.A MOMD UNHCR ,B.R.H.A UNHCR
Fallujah 10 (AAF21),Tasneem M.  Rajab,,33.13952713,43.84314298,Anbar,Falluja,Camp,,IQ0102-0019-021,IQ0102-0019-021,May,Yes,Yes,3,0,Women committee Youth committee Maintenance Committee,Excel based,1,IOM,Camp Management Team NGO Word of Mouth,264,150,1,MoMD Tents Other Tents,90,3,,,,,0,0,,,,,84,22,21,59,74,94,148,6,11,,30,0,4,2,4,5,0,1,0,0,0,0,1,"Low: The campsite is well-drained, yet some areas get water stagnant.",0,Electricity grid,25,Communal garbage bin,64,32,0,"Skin diseases (scabies, contagious rashes, etc.)",1,0,0,1,Every month,1,0ne,15,4,0,1,25,"0t e0ugh teachers Long distance to travel to school Limited eco0mic resources (e.g. to pay for school fees, uniform, transport, books, etc.)",1,20,1,Everything needed is available,Humanitarian aid,0,0,DRC IMC IRC Terre des Hommes ,UIMS ,DRC other (specify) DRS,DoE NRC UNICEF,IOM ,other (specify) SSORD,other (specify) SSORD,"other (specify) SWORD, Marcy corps ", ,Dary , , , ,WFP , , ,
Fallujah 9 (AAF20),Tasneem M. Rajab,,33.14136788,43.84349122,Anbar,Falluja,Camp,,IQ0102-0019-020,IQ0102-0019-020,May,Yes,Yes,4,0,Women committee Youth committee Maintenance Committee,Excel based,1,IOM,Camp Management Team NGO Word of Mouth,246,195,1,MoMD Tents Other Tents,115,1,,,,,0,0,,,,,74,20,8,55,70,111,118,3,8,,3,0,7,1,8,1,0,1,0,0,0,0,1,"Low: The campsite is well-drained, yet some areas get water stagnant.",0,Electricity grid,25,Communal garbage bin,96,36,0,"Skin diseases (scabies, contagious rashes, etc.)",1,0,0,1,Every month,1,0ne,0,4,0,1,130,"0t e0ugh teachers Long distance to travel to school Limited eco0mic resources (e.g. to pay for school fees, uniform, transport, books, etc.)",1,10,,"Basic households items (e.g. mattress, blankets, kitchen utensils) Tools, hardware and materials",Unskilled agricultural labour Pension from government Humanitarian aid,18,3,DRC IMC IRC ,UIMS ,DRC Terre des Hommes other (specify) SSORD,DoE NRC UNICEF,other (specify) IOM,other (specify) SSORD,other (specify) SSORD,other (specify) Marcy corps, ,Dary , , , ,WFP , , ,
Fallujah camp 1 - HTC,Hayder hussein turki,,33.253512,43.583713,Anbar,Ramadi,Camp,,IQ0102-0033-009,IQ0102-0033-009,May,Yes,No,2,0,Camp Management Committee Women committee,Excel based,1,DRC,Camp Management Team Word of Mouth Camp Committees,64,60,0,MoMD Tents,60,15,,,,,,,,,,,58,27,23,46,53,14,18,0,0,,36,0,2,0,4,0,0,0,0,1,0,1,1,"Low: The campsite is well-drained, yet some areas get water stagnant.",0,Electricity grid Generators privately owned,75,Communal garbage bin,16,0,1,"Skin diseases (scabies, contagious rashes, etc.) 0ne",1,0,0,1,Every month,0,Market,10,20,1,1,50,0t e0ugh learning materials Physical/ logistical constraints Lack of documentation,1,12,,"Tools, hardware and materials Kerosene",Unskilled wage labour Casual unskilled labour Humanitarian aid,13,7,DRC IRC Terre des Hommes UNHCR UNICEF ,AFKAR IMC UNFPA ,DRC Terre des Hommes UNICEF ,NRC UNICEF,UNHCR other (specify) Mercy hands,DRC Sabaa Sanabul UNICEF ,UNICEF other (specify) Mercy Corps,other (specify) Mercy Corps,MOMD UNHCR other (specify) Mercy Hands,Dary UNFPA WHO , ,PUI ,DOH UNICEF ,MOMD WFP other (specify) Mercy Hands, , ,
Fallujah camp 5 - HTC,Albab Farqad Yousif,,33.255223,43.587073,Anbar,Ramadi,Camp,,IQ0102-0033-013,IQ0102-0033-013,May,Yes,Yes,3,0,Camp Management Committee Women committee,Excel based,1,DRC,Camp Management Team Word of Mouth Camp Committees,250,146,1,UNHCR Tents,,,146,20,,,,,,,,,111,48,59,80,76,41,38,5,6,,30,0,3,0,0,11,1,1,1,0,0,0,1,"Low: The campsite is well-drained, yet some areas get water stagnant.",12,Electricity grid Generators privately owned,70,Communal garbage bin,58,30,1,"Skin diseases (scabies, contagious rashes, etc.)",1,0,5,1,Every month,0,Market WASH facilities (latrines/ bathing),25,20,1,1,120,"Physical/ logistical constraints Limited eco0mic resources (e.g. to pay for school fees, uniform, transport, books, etc.) Lack of documentation",1,10,,"Tools, hardware and materials Kerosene",Unskilled wage labour Casual unskilled labour Humanitarian aid,15,7,DRC IRC Terre des Hommes UNHCR UNICEF ,AFKAR IMC UNFPA ,DRC Terre des Hommes UNICEF ,DoE NRC UNICEF,MOMD UNHCR other (specify) Mercy Hands,DRC Sabaa Sanabul UNICEF ,Sabaa Sanabul UNICEF other (specify) Mercy Corps,other (specify) Mercy Corps,MOMD UNHCR other (specify) Mercy Hands,Dary UNFPA WHO , ,PUI ,DOH UNICEF ,MOMD WFP other (specify) Mercy Hands, , ,
Fallujah camp 7 - HTC,Hayder Hussein Turki,,33.25894,43.590274,Anbar,Ramadi,Camp,,IQ0102-0033-016,IQ0102-0033-016,May,Yes,Yes,3,0,Camp Management Committee Women committee,Excel based,1,DRC,Camp Management Team Word of Mouth Loudspeakers,255,164,1,UNHCR Tents,,,164,15,,,,,,,,,124,61,55,101,96,61,86,11,8,,27,0,0,0,3,19,0,0,1,1,0,0,1,"Low: The campsite is well-drained, yet some areas get water stagnant.",2,Electricity grid Generators privately owned,60,Communal garbage bin,68,34,1,"Skin diseases (scabies, contagious rashes, etc.)",1,0,5,1,Every month,0,Market WASH facilities (latrines/ bathing),23,25,1,1,130,"Physical/ logistical constraints Limited eco0mic resources (e.g. to pay for school fees, uniform, transport, books, etc.) Lack of documentation",1,12,,"Tools, hardware and materials Kerosene",Unskilled wage labour Casual unskilled labour Humanitarian aid,18,11,DRC IRC Terre des Hommes UNHCR UNICEF ,AFKAR IMC UNFPA ,DRC Terre des Hommes UNICEF other (specify) SSORD,DoE NRC UNICEF,MOMD UNHCR other (specify) Mercy Hands,DRC Sabaa Sanabul UNICEF ,Sabaa Sanabul UNICEF other (specify) Mercy Corps,UNICEF other (specify) Mercy Corps,"MOMD UNHCR other (specify) DRC, Mercy corps, Mercy Hands",Dary UNFPA WHO , ,PUI ,DOH UNICEF ,MOMD WFP other (specify) Mercy hands, , ,
Fallujah camp 8 - HTC,,,33.49179,43.591757,Anbar,Ramadi,Camp,,IQ0102-0033-014,IQ0102-0033-014,May,Yes,Yes,3,0,Camp Management Committee Women committee,Excel based,1,DRC,Camp Management Team Word of Mouth Loudspeakers,250,134,1,UNHCR Tents,,,134,14,,,,,,,,,85,34,33,85,78,37,45,3,1,,21,0,0,0,7,4,0,1,0,1,0,0,1,"Low: The campsite is well-drained, yet some areas get water stagnant.",0,Electricity grid,70,Communal garbage bin,62,34,1,"Skin diseases (scabies, contagious rashes, etc.) Numerous cases of fever",1,0,4,1,Every month,0,Market WASH facilities (latrines/ bathing),5,30,1,1,70,"Physical/ logistical constraints Limited eco0mic resources (e.g. to pay for school fees, uniform, transport, books, etc.) Other",1,6,,"Tools, hardware and materials Kerosene",Self-employment Humanitarian aid,10,13,DRC IRC Terre des Hommes UNHCR UNICEF ,AFKAR IMC UNFPA ,DRC UNICEF other (specify) SSORD,DoE NRC UNICEF,MOMD UNHCR other (specify) MERCY HAND,DRC Sabaa Sanabul UNICEF ,Sabaa Sanabul UNICEF other (specify) MERCY CORPS,UNICEF other (specify) MERCY CORPS,MOMD UNHCR other (specify) DRC & MERCY CORPS & MERCY HAND,Dary UNFPA WHO , ,PUI ,DOH UNICEF ,MOMD WFP other (specify) MERCY HAND, , ,
Garmawa,Biner Shivan Ahmed,,36.648709,43.239964,Ninewa,Shikhan,Camp,,IQ1509-0001,IQ1509-0001,May,Yes,Yes,2,1,Maintenance Committee,LMMS,0,,Printed material (banners/posters/pamphlets) Word of Mouth Loudspeakers,0,1196,1,UNHCR Tents,,,112,112,,,,,,,,,78,41,42,102,95,36,49,7,4,,2,0,4,4,30,1,0,1,0,0,0,0,0,"Low: The campsite is well-drained, yet some areas get water stagnant.",0,Electricity grid,92,Municipal collection,598,1196,0,Numerous trauma-related injuries Physical disabilities Mental disabilities,1,1,0,1,Every month,1,0ne,20,15,1,1,0,0t e0ugh teachers,1,0,,"Basic households items (e.g. mattress, blankets, kitchen utensils) Tools, hardware and materials Basic medicine Kerosene",Unskilled wage labour Self-employment Pension from government,25,0,"B.R.H.A HARIKAR IOM Qandil UNHCR War Child other (specify) BETTER WORLD , JIYAN FOUNDAION", ,War Child ,Ministry of Education, ,B.R.H.A UNICEF ,B.R.H.A UNICEF ,B.R.H.A UNICEF ,Qandil UNHCR ,IOM , ,IOM other (specify) JIYAN FOUNDATION, ,WFP World Vision , , ,B.R.H.A
Haj Ali,Zyad Khalaf Rajab,,35.749018,43.325674,Ninewa,Mosul,Camp,,IQ1505-0008,IQ1505-0008,May,Yes,Yes,43,7,Camp Management Committee Women committee Youth committee Maintenance Committee WASH Committee Other Committee,Excel based,1,IOM,Camp Management Team Community leaders Camp Committees,0,900,1,MoMD Tents,4480,3155,,,,,,,,,,,2486,1258,1192,2463,2473,1346,2016,224,285,,1339,0,220,112,342,17,0,0,0,1,0,0,1,"Low: The campsite is well-drained, yet some areas get water stagnant.",8,Electricity grid,82,Communal garbage bin,808,745,1,"Numerous cases of diarrhoea Skin diseases (scabies, contagious rashes, etc.) Numerous cases of fever Numerous cases of respiratory diseases",1,0,30,1,Between 2 and 3 months,0,0ne,133,20,1,0,2018,"0t e0ugh schools or classrooms Long distance to travel to school Limited eco0mic resources (e.g. to pay for school fees, uniform, transport, books, etc.)",1,4936,,"Tools, hardware and materials",Unskilled wage labour Humanitarian aid Selling assets,700,100,Al Massalla Intersos IOM ,Al Massalla ,Save the Children ,Ministry of Education Save the Children,IOM ,Government / Local Authorities ,other (specify) SEDO,other (specify) SEDO,IOM ,IMC IOM , ,IOM ,DOH ,MOMD WFP , , ,IOM
Hamam Al Alil 1*,Bakhtyar Maghdid,,36.164925,43.245693,Ninewa,Mosul,Camp,,IQ1505-0014,IQ1505-0014,May,Yes,Yes,13,4,Camp Management Committee Women committee Youth committee WASH Committee,Excel based,1,NRC,Camp Management Team NGO Community leaders,4000,3823,0,MoMD Tents,4000,2500,,,,,,,,,,,3728,1131,1183,3542,3334,1445,2134,181,307,,2010,0,177,91,684,15,1,1,0,0,0,1,1,Medium: The campsite is subjected to flood during rainy seasons (roads mainly).,17,Electricity grid,30,Communal garbage bin,670,570,0,"Skin diseases (scabies, contagious rashes, etc.) Mental disabilities",1,0,0,1,Every month,0,0ne,934,70,1,0,5113,"0t e0ugh schools or classrooms 0t e0ugh learning materials Limited eco0mic resources (e.g. to pay for school fees, uniform, transport, books, etc.)",1,382,,Everything needed is available,Casual unskilled labour Humanitarian aid Selling assets,672,843,IMC Intersos Save the Children ,IMC ,Save the Children ,NRC, ,other (specify) pekawa Org, , ,NRC ,Dary , ,Dary , ,MOMD WFP , , ,
Harshm,Rezhin Hasan,,36.256285,43.995,Erbil,Erbil,Camp,,IQ1102-0002,IQ1102-0002,May,Yes,Yes,10,5,Camp Management Committee Other Committee,Access Database based,0,,Camp Management Team Camp Committees,301,0,0,Caravans,,,,,,,,,301,,0,0,299,129,111,299,315,179,197,10,29,,41,0,0,58,109,3,0,0,0,1,0,0,1,"Low: The campsite is well-drained, yet some areas get water stagnant.",1,Electricity grid Generators privately owned,140,Municipal collection,301,301,1,"Skin diseases (scabies, contagious rashes, etc.)",1,0,0,1,Every month,0,0ne,0,90,1,1,878,"0t e0ugh learning materials Physical/ logistical constraints Limited eco0mic resources (e.g. to pay for school fees, uniform, transport, books, etc.)",1,50,,"Basic households items (e.g. mattress, blankets, kitchen utensils) Basic medicine",Self-employment Gifts (in-kind or cash from friends and relatives) Humanitarian aid,250,20,Qandil UNHCR ,Al Massalla ,other (specify) TDH,Ministry of Education UNICEF,KURDS UNHCR ,UNICEF other (specify) EJCC, ,UNICEF other (specify) EJCC,BCF MOMD UNHCR other (specify) Private do0rs, , , , ,BCF Islamic Relief MOMD QATARI RED CRESCENT WFP other (specify) Private Do0rs, ,BCF ,
Hasansham U2,Ghareeb Fahmi Kareem,,36.30943,43.52702,Ninewa,Hamdaniya,Camp,,IQ1503-0024,IQ1503-0024,May,Yes,Yes,16,4,Camp Management Committee,ASSIST,0,,Camp Management Team Camp Committees,1560,1269,0,UNHCR Tents,,,1269,35,,,,,,,,,977,380,350,1072,1115,357,614,27,70,,349,21,140,15,314,75,1,1,0,1,0,0,1,"Low: The campsite is well-drained, yet some areas get water stagnant.",4,Centralized generators,25,Communal garbage bin,384,384,1,"Numerous cases of diarrhoea Skin diseases (scabies, contagious rashes, etc.) Numerous cases of fever",1,0,33,0,Every month,0,0ne,200,30,1,0,600,0t e0ugh teachers 0t e0ugh learning materials,1,300,,Basic medicine Kerosene,Humanitarian aid,120,0,ACTED Al Massalla PAO Qandil UNHCR ,Al Massalla ,other (specify) TDH,NRC,UNHCR ,other (specify) World Vision,other (specify) World Vision,other (specify) World Vision,UNHCR ,other (specify) Heevie, , ,UNICEF ,WFP , , ,
